,key_words
0,"(0, '0.085*""week"" + 0.030*""team"" + 0.028*""saturday"" + 0.027*""next"" + 0.027*""sunday"" + 0.025*""guys"" + 0.022*""last"" + 0.017*""weekend"" + 0.014*""end"" + 0.014*""sat""')"
1,"(1, '0.017*""companies"" + 0.014*""company"" + 0.012*""business"" + 0.010*""technology"" + 0.009*""mr"" + 0.008*""program"" + 0.008*""law"" + 0.007*""partners"" + 0.006*""new"" + 0.006*""industry""')"
2,"(2, '0.101*""california"" + 0.093*""hour"" + 0.085*""start"" + 0.078*""log"" + 0.062*""hourahead"" + 0.041*""westdesk"" + 0.040*""miles"" + 0.038*""el"" + 0.036*""file"" + 0.033*""paso""')"
3,"(3, '0.028*""said"" + 0.023*""state"" + 0.018*""mw"" + 0.014*""energy"" + 0.011*""new"" + 0.009*""bush"" + 0.008*""california"" + 0.007*""lng"" + 0.007*""bill"" + 0.006*""washington""')"
4,"(4, '0.029*""business"" + 0.021*""services"" + 0.017*""group"" + 0.015*""global"" + 0.015*""new"" + 0.013*""president"" + 0.012*""development"" + 0.011*""management"" + 0.009*""team"" + 0.008*""office""')"
5,"(5, '0.040*""game"" + 0.035*""fantasy"" + 0.025*""football"" + 0.023*""sportsline"" + 0.022*""play"" + 0.021*""league"" + 0.018*""players"" + 0.018*""season"" + 0.017*""random"" + 0.017*""mp""')"
6,"(6, '0.122*""td"" + 0.068*""size"" + 0.043*""tr"" + 0.036*""face"" + 0.035*""align"" + 0.033*""arial"" + 0.032*""class"" + 0.031*""color"" + 0.029*""pt"" + 0.024*""border""')"
7,"(7, '0.034*""john"" + 0.033*""chris"" + 0.030*""carol"" + 0.029*""mark"" + 0.026*""greg"" + 0.026*""paul"" + 0.023*""david"" + 0.020*""taylor"" + 0.018*""kevin"" + 0.018*""andy""')"
8,"(8, '0.014*""information"" + 0.013*""may"" + 0.010*""party"" + 0.010*""review"" + 0.009*""provide"" + 0.009*""agreement"" + 0.009*""process"" + 0.008*""prior"" + 0.008*""project"" + 0.007*""agreements""')"
9,"(9, '0.057*""firm"" + 0.027*""talked"" + 0.026*""pool"" + 0.020*""receipt"" + 0.018*""zone"" + 0.016*""transportation"" + 0.015*""co"" + 0.015*""index"" + 0.014*""point"" + 0.014*""signature""')"
10,"(10, '0.026*""closed"" + 0.014*""long"" + 0.012*""short"" + 0.009*""much"" + 0.009*""deal"" + 0.009*""term"" + 0.008*""money"" + 0.008*""even"" + 0.007*""intervention"" + 0.007*""real""')"
11,"(11, '0.019*""us"" + 0.013*""issues"" + 0.011*""need"" + 0.011*""also"" + 0.010*""issue"" + 0.008*""may"" + 0.007*""work"" + 0.007*""believe"" + 0.006*""like"" + 0.006*""working""')"
12,"(12, '0.023*""board"" + 0.014*""says"" + 0.014*""appointment"" + 0.012*""said"" + 0.011*""high"" + 0.009*""week"" + 0.009*""low"" + 0.008*""de"" + 0.008*""cut"" + 0.008*""still""')"
13,"(13, '0.033*""alias"" + 0.025*""free"" + 0.018*""com"" + 0.010*""holiday"" + 0.009*""find"" + 0.009*""online"" + 0.009*""special"" + 0.009*""new"" + 0.008*""today"" + 0.008*""get""')"
14,"(14, '0.013*""life"" + 0.012*""love"" + 0.009*""man"" + 0.009*""people"" + 0.009*""old"" + 0.007*""word"" + 0.007*""guy"" + 0.006*""never"" + 0.006*""florida"" + 0.006*""day""')"
15,"(15, '0.059*""know"" + 0.056*""let"" + 0.050*""fax"" + 0.044*""phone"" + 0.032*""corp"" + 0.029*""north"" + 0.029*""america"" + 0.020*""need"" + 0.019*""smith"" + 0.017*""expense""')"
16,"(16, '0.041*""call"" + 0.040*""meeting"" + 0.026*""time"" + 0.024*""monday"" + 0.023*""th"" + 0.023*""kim"" + 0.023*""kate"" + 0.019*""friday"" + 0.019*""thursday"" + 0.017*""conference""')"
17,"(17, '0.145*""unknown"" + 0.044*""mt"" + 0.021*""gallon"" + 0.017*""texans"" + 0.016*""hoegh"" + 0.013*""dpc"" + 0.012*""questia"" + 0.012*""tag"" + 0.011*""quantity"" + 0.011*""miami""')"
18,"(18, '0.106*""mail"" + 0.047*""list"" + 0.043*""message"" + 0.034*""sent"" + 0.034*""copy"" + 0.021*""received"" + 0.018*""executed"" + 0.017*""qty"" + 0.015*""copies"" + 0.015*""address""')"
19,"(19, '0.035*""know"" + 0.032*""get"" + 0.024*""let"" + 0.016*""like"" + 0.016*""think"" + 0.015*""going"" + 0.013*""back"" + 0.012*""good"" + 0.012*""time"" + 0.011*""see""')"
